CAMPO;DESCRIPCION;LONGITUD;FORMATO;TIPO;TABLA
1;TIPO DE EXPEDIENTE*;2;A;Combo;Tipos_expediente.txt
2;TIPO DE COMUNICADO*;2;A;Combo;Tipos_comunicado.txt
3;NUMERO DE AFILIACION (NAF)*;12;A;Texto;
4;FECHA DE BAJA / FECHA INICIO PRESTACION*;8;N;Fecha;
5;TIPO DE IPF*;1;A;Combo;Ipfs.txt
6;CODIGO DE IDENTIFICACION (IPF)*;10;A;Texto;
7;NOMBRE*;33;A;Texto;
8;APELLIDO1*;33;A;Texto;
9;APELLIDO2*;33;A;Texto;
10;RÉGIMEN*;4;A;Combo;Regimenes.txt
11;PROVINCIA DE LA BAJA MÉDICA*;2;N;Combo;Provincias.txt
12;FECHA DE CRUCE;8;N;Fecha;
13;FECHA DE ALTA;8;N;Fecha;
14;CONTINGENCIA*;1;A;Combo;Contingencias.txt
15;PROVINCIA DEL COLEGIADO/CIAS;2;A;Combo;Provincias.txt
16;COLEGIADO;8;N;Texto;
17;CLAVE MEDICA (CIAS);11;A;Texto;
18;CODIGO DE INSPECCION MÉDICA;4;A;Combo;Inspeccion.txt
19;FECHA DE AGOTAMIENTO 365 DÍAS;8;N;Fecha;
20;INDICADOR DE ALTA EN SEGUNDA RESULUCIÓN;1;A;Check;
21;FECHA DE NUEVA BAJA EXPEDIDA POR SPS;8;N;Fecha;
22;NOMBRE DE MUTUA/ EMPRESA COLABORADORA;20;A;Texto;
23;FECHA DE ALTA MEDICA DEL PROCESO ORIGEN (PIT ANTERIOR  O  LM);8;N;Fecha;
24;FECHA DE RECLAMACIÓN;8;N;Fecha;
25;FECHA DE EFECTOS DEL NUEVO ALTA MÉDICA;8;N;Fecha;
26;INDICADOR COINCIDENCIA FECHA ALTA PREVIA;1;A;Check;
27;FECHA DE LA NUEVA RESOLUCIÓN  DEL INSS/ISM;8;N;Fecha;
28;FECHA PRESENTACION DISCREPANCIA;8;N;Fecha;
29;FECHA ACUSE RECIBO DISCREPANCIA;8;N;Fecha;
30;FECHA PROXIMA REVISION;8;N;Fecha;
31;FECHA RESOLUCION PROCESO ORIGEN;8;N;Fecha;
32;FECHA DE CITA/ RECONOCIMIENTO DEL INS;8;N;Fecha;
33;FECHA DE SUSPENSION;8;N;Fecha;
34;FECHA DE REHABILITACION;8;N;Fecha;
35;FECHA EFECTO DEL NUEVO PROCESO;8;N;Fecha;
36;SEGUNDO REGIMEN (PLURIACTIVIDAD);4;A;Combo;Regimenes.txt
37;CODIGO DE MUTUA QUE ENVIA EL PROCESO O LA PROPUESTA DE ALTA  O MUTUA QUE PRESTA ASISTENCIA SANITARIA POR CP;5;A;Combo;Codigos_mutuas_inss.txt
38;FECHA AGOTAMIENTO DE PLAZO PARA LAS PROPUESTAS DE ALTA EN SPS;8;N;Fecha;
39;IND-RECAIDA;1;A;Check;
40;FECHA DE BAJA PROCESO ANTERIOR;8;N;Fecha;
41;FECHA DE BAJA PROCESO INICIAL;8;N;Fecha;
42;CODIGO CUENTA DE COTIZACION (CCC);15;A;Texto;
43;RAZON SOCIAL;55;A;Texto;
44;TELEFONO-TRABAJADOR;12;A;Texto;
45;CAUSA-FIN;2;A;Combo;Causas_fin.txt
46;FECHA-FIN;8;N;Fecha;
47;DOCUMENTO DE MUTUA DISPONIBLE;1;A;Check;
48;FECHA DESDE PARA LA DEMORA;8;N;Fecha;
49;FECHA HASTA PARA LA DEMORA;8;N;Fecha;
50;COLEGIADO DE LA MUTUA;10;A;Texto;
51;CÓDIGO DE DIAGNÓSTICO CRETA (CIE9);6;A;Texto;
52;FECHA DE EXTINCIÓN;8;N;Fecha;
53;CÓDIGO DE EXTINCIÓN;2;A;Combo;Causas_extincion_IT.txt
54;CÓDIGO DE DIAGNÓSTICO CIE10;8;A;Texto;
55;CÓDIGO ORIGEN RECAÍDA;2;A;Combo;Origen_recaida.txt
56;NÚMERO DE DÍAS DE SUBSIDIO;4;N;Texto;
57;GRAVEDAD;1;A;Combo;Gravedad.txt
58;CÓDIGO DE ENFERMEDAD PROFESIONAL;6;A;Combo;Enfermedad_profesional.txt
59;TIPO DE ASISTENCIA;1;A;Combo;Tipos_asistencia.txt
60;CÓDIGO DE PARTE DEL CUERPO DAÑADA;2;A;Combo;Partes_cuerpo.txt
61;TIPO DE DURACIÓN DEL PROCESO;1;N;Combo;Tipos_proceso.txt
62;DÍAS ESTIMADOS DE BAJA;3;N;Texto;
63;FECHA DE SIGUIENTE REVISIÓN;8;N;Fecha;
64;FECHA DE NACIMIENTO (SOLO NACIMIENTOS);8;N;Fecha;
65;FECHA DE SOLICITUD DEL SUBSIDIO (SOLO NACIMIENTOS);8;N;Fecha;
66;FECHA DE INICIO DEL SUBSIDIO;8;N;Fecha;
