COD EXTINCION;-CAUSA EXTINCIÓN-
01;CURACION
02;FALLECIMIENTO
03;INSPECCION MEDICA
06;MEJORIA QUE PERMITE REALIZAR TRABAJO HABITUAL
07;INCOMPARECENCIA
08;DE OFICIO POR VENCIMIENTO
09;DE OFICIO POR AGOTAMIENTO DE PRORROGA
11;AUTOMATICA POR OTRA BAJA
12;APROBADA INVALIDEZ PERMANENTE
13;DENEGADA INVALIDEZ PERMANENTE
14;PASE A JUBILACION
17;RECUPERACION DE LA CAPACIDAD PROFESIONAL
18;INCOMPARECENCIA(CONTRATOS DE FORMACION)
20;INICIO NACIMIENTO Y CUIDADO DEL MENOR COMUNICADA POR EL SPS
21;CAMBIO DE CONTINGENCIA
24;CURACION, INCORPORACION AL TRABAJO
26;POR NO ESTAR EN ALTA EN LA FECHA DE LA BAJA
29;POR INCOMPATIBILIDAD DE PRESTACION
63;ALTA REALIZADA DESDE UNIDADES MEDICAS
37;SIN EFECTOS ECONOMICOS POR ARTICULO 174
38;SIN EFECTOS ECONOMICOS POR ARTICULO 170
39;RECUPERACION CAPACIDAD PROFESIONAL (DESDE UNIDADES MEDICAS)
42;ALTA POR APLICACION DE LA LEY DE MEDIDAS
44;FIN DE IT POR INICIO DE NACIMIENTO Y CUIDADO DE MENOR
45;FIN DE IT POR INICIO DE PATERNIDAD
50;INICIO DE NACIMIENTO Y CUIDADO DE MENOR (INSS +12 MESES)
51;FALLECIMIENTO COMUNICADO POR EL MINISTERIO DE JUSTICIA
53;ALTA MEDICA REALIZADA POR LA INSPECCION DEL INSS
56;FALLECIMIENTO COMUNICADO DESDE EL INSS
57;ALTA MATEPSS ART.170
64;FINALIZADO POR LA MUTUA VIA PROTOCOLO 2
90;ALTA NOTIFICADA 1ª RESOLUCIÓN  ART.170
91;INICIO LEY DE MEDIDAS SIN ACUSE RECIBO
92;NUEVA BAJA DEL SPS SIN ACUSE RECIBO
01;CURACION
02;FALLECIMIENTO
03;INSPECCION MEDICA
06;MEJORIA QUE PERMITE REALIZAR TRABAJO HABITUAL
07;INCOMPARECENCIA
08;DE OFICIO POR VENCIMIENTO
09;DE OFICIO POR AGOTAMIENTO DE PRORROGA
11;AUTOMATICA POR OTRA BAJA
12;APROBADA INVALIDEZ PERMANENTE
13;DENEGADA INVALIDEZ PERMANENTE
14;PASE A JUBILACION
17;RECUPERACION DE LA CAPACIDAD PROFESIONAL
18;INCOMPARECENCIA(CONTRATOS DE FORMACION)
20;INICIO NACIMIENTO Y CUIDADO DEL MENOR COMUNICADA POR EL SPS
21;CAMBIO DE CONTINGENCIA
24;CURACION, INCORPORACION AL TRABAJO
26;POR NO ESTAR EN ALTA EN LA FECHA DE LA BAJA
29;POR INCOMPATIBILIDAD DE PRESTACION
63;ALTA REALIZADA DESDE UNIDADES MEDICAS
37;SIN EFECTOS ECONOMICOS POR ARTICULO 174
38;SIN EFECTOS ECONOMICOS POR ARTICULO 170
39;RECUPERACION CAPACIDAD PROFESIONAL (DESDE UNIDADES MEDICAS)
42;ALTA POR APLICACION DE LA LEY DE MEDIDAS
44;FIN DE IT POR INICIO DE NACIMIENTO Y CUIDADO DE MENOR
45;FIN DE IT POR INICIO DE PATERNIDAD
50;INICIO DE NACIMIENTO Y CUIDADO DE MENOR (INSS +12 MESES)
51;FALLECIMIENTO COMUNICADO POR EL MINISTERIO DE JUSTICIA
53;ALTA MEDICA REALIZADA POR LA INSPECCION DEL INSS
56;FALLECIMIENTO COMUNICADO DESDE EL INSS
57;ALTA MATEPSS ART.170
64;FINALIZADO POR LA MUTUA VIA PROTOCOLO 2
90;ALTA NOTIFICADA 1ª RESOLUCIÓN  ART.170
91;INICIO LEY DE MEDIDAS SIN ACUSE RECIBO
92;NUEVA BAJA DEL SPS SIN ACUSE RECIBO
