-TIPO EXPEDIENTE-;DESCRIPCION EXPEDIENTE
IT;COMUNICADOS DE PROCESOS DE INCAPACIDAD TEMPORAL
PR;COMUNICADOS DE PROCESOS EN PRÓRROGA DE INCAPACIDAD TEMPORAL
RM;COMUNICADOS DE PROCESOS CON RECLAMACIÓN DEL ALTA MÉDICA EMITIDA POR UNA MUTUA
LM;COMUNICADOS DE PROCESOS CON RECLAMACIÓN POR DISCONFORMIDAD
R8;COMUNICADOS DE PROCESOS DE RECAÍDA DE UN PROCESO DE MÁS DE 365 DÍAS
RA;COMUNICADOS DE PROCEOSS DE RECAÍDA DE UN PROCESO DE IT CON MENOS DE 365 DÍAS
PA;PROPUESTAS DE ALTA COMUNICADAS DESDE LA MUTUA PARA SU ENVÍO AL SPS
IR;SOLICITU DE INFORMACIÓN REQUERIDA AL SPS DESDE EL INSS
CP;PROCESOS DE INCAPACIDAD TEMPORAL DE CONTINGENCIAS PROFESIONALES A CARGO DE MCSS (ACCIDENTES O ENFERMEDADES)
NC;COMUNICADOS DE PROCESOS DE NACIMIENTO Y CUIDADO DEL MENOR
RE;COMUNICADOS DE PROCESOS DE RIESGO DE EMBARAZO
RL;COMUNICADOS DE PROCESOS DE RIESGO DE LACTANCIA
CM;COMUNICADOS DE PROCESOS DE CUIDADO AL MENOR
CR;COMUNICADOS DE PROCESOS DE CAMBIOS DE RECAÍDAS
CL;COMUNICADOS DE PROCESOS DE CORRESPONSABILIDAD DE CUIDADO DEL LACTANTE
DC;DETERMINACION DE CONTINGENCIAS
IP;INCAPACIEDADES PERMANENTES
JU;JUBILACION
FA;FALLECIMIENTO
SP;SOLICITUD DE PRUEBA DE SPS A MUTUAS
